SampleID.x	X1	Moisture	SoilpH	WDRFBuffer	SolubleSalt	OrganicMatter	CO2C	TotalN	OrganicN	TotalOrganicC	Nitrate	Ammonium	InorganicNitrogen	TotalPhosphorus	InorganicPhosphorus	OrganicPhosphorus	Potassium	Calcium	Aluminum	Iron	Sulfur	Zinc	Manganese	Copper	Magnesium	Sodium	MAC	OrganicCN	OrganicNInorganicN	OrganicNRelease	OrganicNReserve	OrganicPRelease	OrganicPReserve	SoilHealthCalculation	AvailableN	AvailableP	AvailableK	pcoa1	pcoa2	SampleID.y	Treatment	Plot	SubPlot	Depth	Date	Burn	Disturbance	richness	virome
3B2BS	BSV16	149.1567916	5.1	5.7	0.06	47.5	1208	17.8	13.8	165	0.2	5.6	5.8	2	0.8	1.5	46	481	116	48	2	1.24	35	0.1	91	16	732.1	12	2.4	13.8	0	1.5	0	65.08	5.9	5.1	55.3	-0.153514243	-0.027103593	3B2BS	Burn	B2	B2B	0-3cm	4/18/2021	Before	no	4020	yes
3B3AD	BDV17	26.65320865	5.8	6	0.15	11	463	14.1	10.8	266	0.4	3	3.4	2	0.8	0.9	118	509	674	174	4.3	0.16	56.3	0.4	60	14	174	24.5	3.2	10.8	0	0.9	0	32.13	4.3	3.8	141.6	0.057283679	-0.131041147	3B3AD	Burn	B3	B3A	3-6cm	4/18/2021	Before	no	2512	yes
3B3AS	BSV17	43.44402435	6.1	6.3	0.1	16.5	1132	23.4	19	300	0.2	3.2	3.3	5	1.9	3	86	832	235	58	4.1	1.09	60.5	0.2	84	18	377.1	15.8	5.7	19	0	3	0	64.51	6.7	11.4	102.8	-0.023842332	-0.129476348	3B3AS	Burn	B3	B3A	0-3cm	4/18/2021	Before	no	3796	yes
3B3BD	BDV18	21.3609098	5.4	5.5	0.05	30.8	280	19.2	14.9	168	0.4	5.6	6	2	0.3	1.5	83	735	317	69	3.4	0.88	16.4	0.1	105	16	166.7	11.3	2.5	14.9	0	1.5	0	24.85	6.3	4.1	99.7	-0.05913254	-0.095513622	3B3BD	Burn	B3	B3B	3-6cm	4/18/2021	Before	no	3964	yes
3B3BS	BSV18	47.75701059	5	5.5	0.05	69.4	812	9.7	4.1	113	0.2	10.6	10.8	2	1	1.4	52	551	130	44	2.1	1.76	41.8	0.15	106	13	720.8	27.5	0.4	4.1	0	1.4	0	43.26	4.5	5.5	61.9	-0.142195107	-0.061956842	3B3BS	Burn	B3	B3B	0-3cm	4/18/2021	Before	no	3704	yes
3B4AD	UDV17	25.04452849	6.1	6.3	0.05	10.6	412	21.3	16.7	278	0.5	1.9	2.4	2	0.6	1.3	88	636	335	67	3.1	0.23	27	0.24	76	13	148.1	16.6	7	16.7	0	1.3	0	30.13	5.7	4.4	105.9	0.112622326	-0.04459463	3B4AD	Burn	B4	B4A	3-6cm	4/18/2021	Before	no	2695	yes
3B4AS	USV17	48.96389794	5.6	5.7	0.04	29	766	8.2	4.7	92	0.1	2.5	2.6	3	0.8	1.7	67	661	296	65	2.8	0.65	15.7	0.12	101	13	833.1	19.5	1.8	4.7	0	1.7	0	40.61	2.2	5.8	81	0.082781716	-0.040151914	3B4AS	Burn	B4	B4A	0-3cm	4/18/2021	Before	no	3213	yes
3B4BD	UDV18	60.93997961	5.9	6.1	0.06	10.6	848	6.4	2.9	136	0.2	1.9	2.1	2	0.6	1.5	86	419	329	86	2.9	0.32	21.7	0.26	50	16	622.4	47.8	1.4	2.9	0	1.5	0	45.41	1.5	4.9	102.7	0.108476055	0.052474807	3B4BD	Burn	B4	B4B	3-6cm	4/18/2021	Before	no	2525	yes
3B4BS	USV18	119.4701517	5.4	5.8	0.07	23.7	902	7.5	4.5	114	0.2	1.6	1.8	3	0.7	1.9	79	575	202	67	3.8	0.99	53.9	0.19	65	14	793	25.3	2.5	4.5	0	1.9	0	47.82	1.9	6	94.3	0.008071534	0.032113502	3B4BS	Burn	B4	B4B	0-3cm	4/18/2021	Before	no	3496	yes
3U1AD	UDV13	63.80318783	5.3	5.6	0.03	14	256	8.4	5	92	0.4	2.1	2.4	2	0.5	1.8	55	394	482	40	2.3	0.15	8.9	0.1	52	16	278.1	18.3	2.1	5	0	1.8	0	20.63	2.2	5.3	65.7	0.093276999	0.293849752	3U1AD	Control	U1	U1A	3-6cm	4/18/2021	Before	no	2439	yes
